kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.1.sm_30.ptx 245 : 8192 187808 0 0 0 0 0 0 0 
test.1.sm_30.ptx 58 : 8192 43008 0 0 0 0 0 0 0 
test.1.sm_30.ptx 140 : 8192 186688 0 0 0 0 0 0 0 
test.1.sm_30.ptx 142 : 8192 186720 0 0 0 0 0 0 0 
test.1.sm_30.ptx 154 : 8192 184576 0 0 0 0 0 0 0 
test.1.sm_30.ptx 66 : 8192 915808 0 0 0 0 0 0 0 
test.1.sm_30.ptx 233 : 8192 49152 0 0 0 0 0 0 0 
test.1.sm_30.ptx 322 : 8192 185760 0 0 0 0 0 0 0 
test.1.sm_30.ptx 155 : 8192 186592 0 0 0 0 0 0 0 
test.1.sm_30.ptx 401 : 32 160 0 0 0 0 0 0 0 
test.1.sm_30.ptx 234 : 8192 1161472 0 0 0 0 0 0 0 
test.1.sm_30.ptx 161 : 8192 186688 0 0 0 0 0 0 0 
test.1.sm_30.ptx 163 : 8192 186720 0 0 0 0 0 0 0 
test.1.sm_30.ptx 175 : 8192 184576 0 0 0 0 0 0 0 
test.1.sm_30.ptx 87 : 8192 1037856 0 0 0 0 0 0 0 
test.1.sm_30.ptx 254 : 8192 49152 0 0 0 0 0 0 0 
test.1.sm_30.ptx 343 : 8192 185792 0 0 0 0 0 0 0 
test.1.sm_30.ptx 176 : 8192 186656 0 0 0 0 0 0 0 
test.1.sm_30.ptx 255 : 8192 1160928 0 0 0 0 0 0 0 
test.1.sm_30.ptx 182 : 8192 186944 0 0 0 0 0 0 0 
test.1.sm_30.ptx 184 : 8192 187168 0 0 0 0 0 0 0 
test.1.sm_30.ptx 36 : 32 192 0 0 0 0 0 0 0 
test.1.sm_30.ptx 203 : 8192 187264 0 0 0 0 0 0 0 
test.1.sm_30.ptx 50 : 8192 57344 0 0 0 0 0 0 0 
test.1.sm_30.ptx 217 : 8192 185184 0 0 0 0 0 0 0 
test.1.sm_30.ptx 385 : 8192 81920 0 0 0 0 0 0 0 
test.1.sm_30.ptx 218 : 8192 187200 0 0 0 0 0 0 0 
test.1.sm_30.ptx 393 : 32 128 0 0 0 0 0 0 0 
test.1.sm_30.ptx 226 : 8192 187552 0 0 0 0 0 0 0 
test.1.sm_30.ptx 71 : 8192 32768 0 0 0 0 0 0 0 
test.1.sm_30.ptx 238 : 8192 185472 0 0 0 0 0 0 0 
test.1.sm_30.ptx 239 : 8192 187552 0 0 0 0 0 0 0 
test.1.sm_30.ptx 247 : 8192 187872 0 0 0 0 0 0 0 
test.1.sm_30.ptx 92 : 8192 99648 0 0 0 0 0 0 0 
test.1.sm_30.ptx 259 : 8192 185792 0 0 0 0 0 0 0 
test.1.sm_30.ptx 260 : 8192 187808 0 0 0 0 0 0 0 
test.1.sm_30.ptx 268 : 8192 187872 0 0 0 0 0 0 0 
test.1.sm_30.ptx 281 : 8192 187808 0 0 0 0 0 0 0 
